price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
9400,2011,bmw x5,good,6,gas,145000,automatic,SUV,,1,6/23/2018,19
25500,,ford f-150,good,6,gas,88705,automatic,pickup,white,1,10/19/2018,50
5500,2013,hyundai sonata,like new,4,gas,110000,automatic,sedan,red,,2/7/2019,79
1500,2003,ford f-150,fair,8,gas,,automatic,pickup,,,3/22/2019,9
14900,2017,chrysler 200,excellent,4,gas,80903,automatic,sedan,black,,4/2/2019,28
14990,2014,chrysler 300,excellent,6,gas,57954,automatic,sedan,black,1,6/20/2018,15
12990,2015,toyota camry,excellent,4,gas,79212,automatic,sedan,white,,12/27/2018,73
15990,2013,honda pilot,excellent,6,gas,109473,automatic,SUV,black,1,1/7/2019,68
11500,2012,kia sorento,excellent,4,gas,104174,automatic,SUV,,1,7/16/2018,19
9200,2008,honda pilot,excellent,,gas,147191,automatic,SUV,blue,1,2/15/2019,17
19500,2011,chevrolet silverado 1500,excellent,8,gas,128413,automatic,pickup,black,1,9/17/2018,38
8990,2012,honda accord,excellent,4,gas,111142,automatic,sedan,grey,,3/28/2019,29
18990,2012,ram 1500,excellent,8,gas,140742,automatic,pickup,,1,4/2/2019,37
16500,2018,hyundai sonata,excellent,4,gas,22104,automatic,sedan,silver,,1/14/2019,29
12990,2009,gmc yukon,excellent,8,gas,132285,automatic,SUV,black,1,1/31/2019,24
17990,2013,ram 1500,excellent,8,gas,,automatic,pickup,red,1,5/15/2018,111
14990,2010,ram 1500,excellent,8,gas,130725,automatic,pickup,red,1,12/30/2018,13
13990,2014,jeep cherokee,excellent,6,gas,100669,automatic,SUV,red,1,8/16/2018,25
12500,2013,chevrolet traverse,excellent,6,gas,128325,automatic,SUV,white,1,4/9/2019,13
13990,2018,hyundai elantra,excellent,4,gas,31932,automatic,sedan,red,,8/25/2018,27
6990,,chevrolet tahoe,excellent,8,gas,147485,automatic,SUV,silver,1,8/5/2018,28
5250,2007,toyota rav4,good,6,gas,154000,automatic,SUV,,,8/22/2018,8
7500,2004,chevrolet silverado,like new,8,gas,180000,automatic,truck,red,1,1/5/2019,64
7500,2004,jeep wrangler,good,6,gas,,automatic,SUV,red,1,5/17/2018,39
3950,2009,chrysler 200,excellent,4,gas,,automatic,sedan,red,,6/11/2018,40
11499,2017,chevrolet malibu,like new,4,gas,,automatic,sedan,,,7/26/2018,43
8499,2014,ford fusion se,like new,4,gas,79523,automatic,sedan,red,,10/25/2018,23
12999,2015,chevrolet impala,like new,6,gas,39368,automatic,sedan,custom,,5/19/2018,42
29800,2012,chevrolet corvette,excellent,8,gas,57413,automatic,coupe,orange,,10/22/2018,101
5495,2010,chevrolet impala,excellent,6,gas,,automatic,sedan,white,,2/18/2019,20
5000,2009,jeep liberty,good,6,gas,137273,automatic,SUV,white,1,2/19/2019,14
11999,2017,toyota camry le,excellent,4,gas,35721,automatic,sedan,,,9/13/2018,25
9499,2015,nissan altima,like new,4,gas,51848,automatic,sedan,grey,,11/12/2018,7
3890,2011,subaru outback,excellent,4,gas,300000,automatic,SUV,white,1,12/25/2018,31
9500,2008,toyota highlander,good,6,gas,149799,automatic,SUV,,,6/4/2018,121
